SPEECH AND DEBATE (minor),"9,10,11,12",CLASS,ENGLISH,"Open to all upper schoolers, grades 9-12, this year-long minor course gives students an exciting and challenging opportunity to strengthen their public speaking skills.  Students prepare and deliver speeches that inform, entertain, and persuade, and they study the rules and techniques of formal debate, learning how to plan and present affirmative and negative arguments."
ENGLISH IX—SEARCH FOR SELF: LITERATURE ACROSS CULTURES AND AROUND THE GLOBE,9,CLASS,ENGLISH,"Students entering the ninth grade are just beginning to step back and question themselves and their surroundings, exploring in various ways their autonomy.  This course is designed to help them discover and nurture their powers of self-reflection in thought, feeling, and expression.  English IX will examine an essential question:  Who am I?  It will explore the power of words and of storytelling to help us give shape and meaning to our experience and to our sense of self and community.  Reading and discussing texts that span the globe, students will come to understand themselves, others, and the interconnectedness of all cultures.As the humanities component of the PDS ninth grade experience, English IX will work to accomplish distinct literature goals and introduce essential skills.  The course will be divided into three parts.To help ninth graders transition to upper school at PDS and to establish a sense of belongingness and inclusivity, we will begin the year with personal narrative writing.  Using our required summer reading as a point of comparison, students will define and question their own backgrounds and values.  They will reflect on how they have emerged into their present states.  This part of the course will provide opportunity to share personal and culturally diverse narratives.Working with a selection of foundational literary texts, first semester will introduce and hone critical reading skills and seminar style discussion.  Students will read for theme, character, symbol, tone, voice, and style.  They will write formal, analytical essays and personal responses to the stories they read.  They will also craft short stories and poems.  During the second semester, students will write a short research paper that will help them become familiar with the resources available through the PDS libraries, strengthen their research skills, and learn to use information technology efficiently and wisely.  The goal is not simply to improve writing skills, but to strengthen the students’ sense of self-confidence about their individual powers of self-expression.During the second semester, English IX reads stories from different cultural perspectives. Purple Hibiscus, a collection of Chinese short stories, and Othello, among others, will showcase characters in conflict with their familial, religious, and/or cultural roots.  These stories of journey and self-discovery align with the global case studies students will be examining in their World Religions in History course across Shepherd Commons.  There will be ample opportunity for shared discussion and assessments as well as a final project that will allow students to articulate their understanding of how stories help determine self and how they teach, preserve, and build cultural identity."
"ENGLISH X — AMERICAN LITERATURE:  JOURNEY, CONFLICT, AND THE AMERICAN DREAM",10,CLASS,ENGLISH,"Tenth grade is a year when students come into their intellectual and analytical power.  English X nurtures this developmental phase by focusing on close reading and analysis of text.  The course is designed to help students grow as readers and thinkers who can interpret beyond the literal and respond to a text in more nuanced and complex ways, both critically and creatively.  Whereas English IX looked outward to examine literature from around the globe, English X will turn inward to examine American literature.Ours is a rich literature of trials and tribulations, successes and failures, hopes and dreams.  It is a literature of journey and self-discovery, a literature of grappling with and articulating the American dream, a literature of assimilation and self-reliance, of subjugation and betrayal.  English X will trace the competing narrative threads that define American literature and the American sense of self.  Essential questions of the course include:  What does it mean to be an American?  What are the distinguishing features of American culture and of the American story?Students will engage in close reading of The Namesake, excerpts from the essays of Ralph Waldo Emerson and Henry David Thoreau, The Great Gatsby, Another Brooklyn, When the Emperor was Divine, The Thousand Crimes of Ming Tsu, and select plays, poems, and short stories.  They will be encouraged to ask open-ended questions in writing and discussion and to connect one piece of literature to another, to the U. S. history they are studying, and to their own experiences.  Students will write both critical and creative responses to the texts they read.  They will also assemble a poetry portfolio and draft several short pieces of fiction.  The course will culminate in a research project that will allow students to draw explicitly on materials, information, and knowledge they have gathered in both English X and U.S. History.Grades Eleven and Twelve - ElectivesUpperclassmen choose from a rich selection of semester-long electives.  During the fall semester, juniors and seniors will enroll in one of fourteen electives designed to strengthen their skills as readers, writers, and critical thinkers.  In late January, juniors will begin a second semester English course with a focus on writing; seniors will participate in our signature Senior Reading & Writing Intensive seminar."
ASIAN AMERICAN LITERATURE,"11,12",CLASS,ENGLISH,"In his op-ed for The New York Times titled “Asian-Americans Need More Movies, Even Mediocre Ones,” Viet Thanh Nguyen coined the term “narrative plenitude.”  He argues that Asian American stories have not been included in the grand narrative of America.  Nguyen writes that “[he] and most other Asian-Americans grew up and still live in the opposite of ‘narrative plenitude.’  We live in an economy of narrative scarcity in which we feel deprived and must fight to tell our own stories and fight against the stories that distort or erase us.  Many Americans will take these Asian images — which are usually awful — and transfer them to any Asian-American they encounter.”This course is an introduction to Asian American Literature.  In it we will explore the origins of and what it means to be “Asian American” and how Asian American Literature works to disrupt the stereotypical “single story” of the perpetual foreigner (to use Chimamanda Ngozi Adichie’s term) that is often told about Asians.  We will read from a range of texts, across multiple genres and time periods, including works by Maxine Hong Kingston, Viet Thanh Nguyen, Cathy Park Hong, Jhumpa Lahiri, Jessica Hagedorn, and Kimiko Hahn as well as other Asian American writers of different ethnicities."
COMING OF AGE,"11,12",CLASS,ENGLISH,"In this course we will study the ""bildungsroman:” a German word that can mean “a novel of education” or “novel of formation” – in other words, stories about ""coming of age.” The texts we will engage with will invite us to reflect upon ourselves and upon our relationship with the world. Who do we understand ourselves to be, and who do we want to become? We will explore questions of identity, belonging, sexuality, and growth, as well as how our personal stories interweave into larger historical and cultural flows such as immigration, capitalism, and social inequities. This course will be grounded in interdisciplinarity and we will put literature in conversation with history, psychology, cultural anthropology, and film. In addition to reading certain sections from Charlotte Bronte’s Jane Eyre, texts will include Jean Rhys’ Wide Sargasso Sea, Jhumpa Lahiri’s The Namesake, and Ocean Veung’s On Earth We're Briefly Gorgeous. Our goal will be to challenge ourselves and each other to think and grow together."
CREATIVE WRITING,"11,12",CLASS,ENGLISH,"This course is for students with strong writing skills, a particular interest in creative writing, and the desire to explore writing in a range of forms — including personal essays, critical essays, poetry, short stories, plays, and screenplays.  Significant class time will be devoted to a shared exploration of the writer's craft through individual conferencing, critiquing in small groups, free-writing, and presenting works in progress.  For the final project, students will assemble a portfolio containing their best revised creations as well as an artist’s statement concerning how and why their writing and their approach to writing have changed.  To thrive in the atmosphere of freedom and experimentation that this course encourages, students should possess a self-motivated commitment to the craft of writing and a genuine eagerness to explore (and help others explore) the range and depth of their voices as writers.Models will be drawn from such longer works as The Things They Carried (O’Brien), Jesus’ Son (Johnson), A Visit from the Goon Squad (Egan), and Woman Hollering Creek (Cisneros) as well as a number of selected short stories, poems, and essays.  Reading will also include reflections on the life of a writer from the journals and essays of various writers."
GIVE MY REGARDS TO BROADWAY:  AMERICAN PLAYS AND MUSICALS,"11,12",CLASS,ENGLISH,"“The word theater comes from the Greeks. It means ‘the seeing place.’    It is the place people come to see the truth about life… The theater is a spiritual and social x-ray of its time.”-- Stella Adler, Actress and Acting TeacherThis elective provides an introduction into the exploration of plays and musicals from the 20th century through today.  We will read and discuss plays as literature intended for theatrical performance, often dealing with the translation of the written page onto the stage and screen.  The plays will be examined from the perspectives of history, cultural context, and form.  Topics will include the relationship between theater and society, narrative structure, theatrical representation, and the crafts of theater artists such as directors, designers, playwrights, and actors.  We will engage with video archives of past performances and hopefully attend a live performance.A musical tells a story with words and music.  Beyond those basic elements, any limitations around what a musical can or cannot be is up for debate.  In addition to looking at the past, present, and future of American musical theater, we will engage in a broad exploration of musical storytelling across many aesthetic sensibilities and time periods.  In this course we will get to know the history of the film musical and discuss the social, aesthetic, and philosophical issues created and represented by it.  During the course we will view and discuss classical Hollywood films alongside other films which attempt to push the boundaries of the form.Written texts may include works by Neil Simon, August Wilson, Tennessee Williams, Suzan Lori-Parks, Steven Dietz, and L. Frank Baum.  Film screenings may include Singin’ in The Rain, Death of a Salesman, A Streetcar Named Desire, The Wizard of Oz, Carmen Jones, Lost in Yonkers, Flower Drum Song, and Moulin Rouge."
"THE GREAT MIGRATION: UNDERSTANDING THE PAST, IMAGINING THE FUTURE","11,12",CLASS,ENGLISH,"In her exhaustively researched book on The Great Migration, The Warmth of Other Suns, Isabel Wilkerson states, “They did what human beings looking for freedom, throughout history, have often done.  They left.”  In this course we will explore the impact that The Great Migration has had on Black American and diasporic communities through an examination of art, music, and literature spanning from the early years of the Migration through a contemporary study of Afrofuturism.  We will examine the impact that migrating and resettling has on the characters:  some characters very literally migrating as a part of the historical Great Migration and others in search of freedom and agency in a dystopian world.  Whether the text is rooted in history or science fiction, the course’s essential questions will remain:  How is someone's sense of place, self, and belonging challenged as a result of their migration or journey?  How does the reimagination of black power create hope for change and agency?  How are authors intertwining past, present, and future as they reimagine Black and Black American narratives?  Texts may include Jacob Lawrence’s Migration Series; the poetry of Hughes, McKay, and Cullen; Nella Larsen’s Quicksand; Zora Neale Hurston’s Their Eyes Were Watching God, Nnedi Okorafor’s Binti Trilogy; and Ryan Coogler’s Black Panther.(HI)STORY IN FILM AND LITERATUREEvery picture tells a story and every story is made up of words spun together to form vivid images on the page.  “(Hi)Story in Film and Literature” will explore the ways in which both film and literature work to preserve, critique, and even reinterpret the past.  Working with the assumption that history books, historical documents, artifacts, and public records are not the only way to learn about the past, this course will look to film and literature as valid forms of a collective “cultural memory.”  Whether we are examining the French Revolution, WWII, the Native American experience, or Vietnam, we will seek to understand significant moments in history through stories that have been crafted in words or in moving pictures.  We will explore how artistic works of various eras celebrate, criticize, or reconstruct the past.  Alongside our study of what story is being told, we will question the different perspectives from which all (hi)stories can be told (victor, victim, male, female, the upper class, the masses, the young, and the old).  Works read may include Benioff’s City of Thieves, Zusak’s The Book Thief, Whitehead’s The Underground Railroad, Tim O’Brien’s The Things They Carried, and Safran Foer’s Extremely Loud & Incredibly Close.  Films may include Au revoir les enfants, Nuit et brouillard, Bonnie and Clyde, Little Big Man, Django Unchained, and American Sniper.Students will do historical research on each period studied, present “History blips” to the class, and keep a journal of the discoveries they make while reading and viewing works from different moments in history.  They will craft several close analysis essays, a film review, a creative story retelling an important historical event from an “untraditional” perspective, and a Vietnam Veteran memoir."
JOURNEY IN LITERATURE,"11,12",CLASS,ENGLISH,"Could you be happier on your journey this fall at PDS?  Even while negotiating the messiness of your “add-oh-less-sense” present and preparing simultaneously for the future of college and adulthood?  What if you made more lists?  Studied the pitfalls of perfectionism and procrastination?  Tried to keep childhood alive?  Quieted the mind and tried meditating?  Charted your work-out schedule?  Perhaps mentors and/or famous fictional writers will offer you answers which resonate:  “It’s silly to think you are anything more than a passenger on this planet; we find that after years of struggle we do not take a trip; a trip takes us.”  (Steinbeck); “Don’t give into your fears.  If you do, you won’t be able to talk to your heart.”  (Coelho).  Or perhaps not: “So it goes.”  (Vonnegut) To look for journey truths which could revitalize your approach to life, you will visit kindergarten and the eighth grade, interview friends, listen to a panel of Journey-class alums (now in college), discuss life choices with parents and grandparents, and perhaps even visit a home for the elderly. Cornerstone fictional and real-life texts focusing on the seven journey stages will shepherd you through chronological, racial, identity-based, socio-economic, and geographical boundaries: At the Bottom of the River (Jamaica Kincaid), House on Mango Street (Sandra Cisneros), Slaughterhouse Five (Vonnegut), Into the Wild (Jon Krakauer), Wild: From Lost to Found on the Pacific Crest (Cheryl Strahed), and Crying in H Mart (Michelle Zauner).  Psychological studies, poetry, plays, short stories, chapters from various memoirs, and films (The Red Balloon, Rebel Without a Cause, and The Graduate) will offer you supplemental worlds to visit and contemplate.  Opportunities to reveal your “growth mindset” will include presentations to peers, creative and analytical writing, and the course-long challenge of Journey:  writing and then speaking the results of how you improved your happiness over four months (this project is based on your summer read of Gretchen Rubin’s The Happiness Project.)"
THE LIVES OF OTHERS:  INVESTIGATING THE GRAPHIC NOVEL,"11,12",CLASS,ENGLISH,"One look at hieroglyphics will provide a potent reminder that visual storytelling is a fundamental aspect of the human experience.  Since the 1980s the graphic novel, or long-form comic, has become a popular and accomplished literary and artistic form.  The contemporary graphic novel is a collaboration between text and image, which blends the shape and arc of the novel with the conventions of visual storytelling.  Rigorously studying graphic novels means engaging in new scholarly inquiries that challenge students about how image and text work together to convey meanings that would not be conveyed separately.  This course offers a survey of some of the most evocative graphic novels of the last forty years while concurrently providing the skills for reading comics critically in terms of what they say and how they say it.Throughout the semester we will examine the evolution, subject matter, form, and future of the graphic novel genre.  The focus of this course will be on how artists create stories and characters and how to interpret and contextualize such works.  This is an interdisciplinary course that will investigate a multitude of media and topics such as racial constructions, stereotypes, assimilation, performativity, immigration, and identification.  Ultimately, this is a course about humanity and how image and text can be utilized to shift one’s understanding of another person’s reality.Please Note: The foundation of this course is an investigation of mainstream graphic novels; however, we will also be reading relevant novels, plays, poetry, and short stories which match with the major themes and/or events of graphic novels that are included in the syllabus.  Works by graphic novelists such as Art Spiegelman, Marjane Satrapi, Alison Bechdel, Alan Moore, Miriam Katin, and Daniel Clowes  may be included in this course."
